Latitude,Longitude,Day_of_Week,Month,Season,Temperature,Wind_Speed,Weather_Code,Current_Speed,Free_Flow_Speed,Speed_Ratio,Current_Travel_Time,Free_Flow_Travel_Time,Confidence,FRC,Hour,Minute
-33.4489,-70.6693,6,5,3,19.5,3.6,3,28.0,41.3,0.678,511,460,0.95,6,19,57
-45.8788,170.5028,5,4,2,10.1,29.8,3,95.3,122.9,0.775,349,326,0.9,0,2,43
47.4979,19.0402,3,4,0,20.4,3.7,3,51.7,70.7,0.731,308,261,0.9,3,17,36
-6.2088,106.8456,5,7,3,30.4,14.1,2,37.6,54.8,0.687,599,545,0.95,5,9,12
-43.5321,172.6362,6,5,3,14.3,17.2,3,61.8,85.2,0.726,143,123,0.99,2,2,46
22.3193,114.1694,6,4,0,25.9,3.0,3,40.1,49.4,0.812,123,115,0.96,5,9,34
34.0522,-118.2437,3,5,1,24.9,19.3,0,72.1,93.3,0.773,579,544,0.92,2,22,18
-34.6037,-58.3816,4,7,3,11.5,30.3,3,24.0,35.9,0.669,555,546,0.9,7,11,45
47.6062,-122.3321,3,4,0,10.9,17.4,51,33.6,44.9,0.747,157,135,0.98,5,15,53
-26.2041,28.0473,2,4,2,10.1,9.6,0,31.7,41.3,0.768,60,48,0.92,6,6,4
19.076,72.8777,2,6,1,28.4,21.4,51,84.9,88.0,0.966,331,296,0.92,1,17,11
53.3498,-6.2603,5,6,1,18.2,12.0,3,100.3,111.4,0.901,135,82,1.0,0,10,52
52.4862,-1.8904,1,6,1,10.9,5.4,55,68.2,78.6,0.867,508,459,0.93,2,2,57
-6.2088,106.8456,0,7,3,29.4,3.3,3,39.9,48.3,0.826,454,406,0.91,5,1,35
-33.9249,18.4241,4,7,3,9.9,14.1,1,83.4,99.7,0.836,587,576,0.97,1,1,8
13.7563,100.5018,2,7,1,27.5,8.1,55,57.8,66.8,0.865,561,552,0.99,3,12,45
41.9028,12.4964,0,4,0,17.4,3.6,2,80.2,109.2,0.734,104,77,0.97,1,23,4
33.5731,-7.5898,0,6,1,21.0,2.6,0,90.8,107.0,0.849,110,96,0.91,1,23,31
59.9139,10.7522,5,5,1,18.8,16.8,3,61.2,88.2,0.694,338,285,0.96,2,11,42
-6.2088,106.8456,3,4,2,31.7,9.0,51,36.4,53.3,0.683,517,469,0.98,5,7,17
3.139,101.6869,2,5,1,30.4,8.5,3,54.6,74.0,0.738,83,42,0.99,3,7,9
41.8781,-87.6298,3,7,1,18.0,5.7,3,21.5,33.3,0.646,368,339,0.96,7,12,15
55.7558,37.6173,5,7,1,17.6,12.7,3,105.9,120.5,0.879,336,296,0.9,0,2,1
52.2297,21.0122,6,4,0,18.9,14.2,3,24.8,35.3,0.703,208,171,0.96,7,22,23
41.9028,12.4964,3,5,1,28.0,6.5,3,93.2,99.7,0.934,170,159,0.99,1,6,58
44.6488,-63.5752,0,6,1,24.3,10.8,1,104.4,115.8,0.902,425,417,0.97,0,20,4
-42.8821,147.3272,5,6,3,8.3,9.4,3,47.0,67.6,0.695,539,479,0.91,4,20,49
50.0755,14.4378,1,4,0,14.6,12.7,3,99.3,109.6,0.906,429,402,0.98,0,4,45
6.5244,3.3792,0,4,0,25.6,6.4,3,61.4,88.1,0.697,245,238,0.96,2,1,42
64.1355,-21.8954,0,5,1,9.7,17.4,3,22.4,32.2,0.695,269,211,0.98,7,16,15
14.5995,120.9842,4,5,1,30.3,13.2,51,59.2,80.0,0.74,458,429,0.98,2,7,15
42.3601,-71.0589,5,7,1,17.5,9.2,3,51.5,57.2,0.902,321,296,0.99,4,5,0
47.4979,19.0402,5,6,1,27.1,8.5,0,105.0,127.3,0.825,104,56,0.94,0,20,33
43.65107,-79.347015,6,5,1,15.2,0.8,3,55.2,65.5,0.843,194,135,0.91,3,4,49
3.139,101.6869,3,7,1,26.5,4.0,3,80.8,96.3,0.84,550,522,0.9,1,2,41
-12.4634,130.8456,1,6,3,22.7,6.2,1,24.8,31.1,0.798,154,117,0.99,7,20,30
24.4539,54.3773,5,6,1,32.5,8.1,0,59.8,73.5,0.813,305,291,0.99,3,21,40
-37.8136,144.9631,1,5,3,14.7,23.0,1,23.6,35.8,0.659,511,476,0.96,7,6,10
-37.8136,144.9631,2,7,3,19.7,21.6,1,83.7,95.2,0.879,134,87,0.92,1,3,43
53.5461,-113.4938,2,6,1,26.3,12.1,1,60.3,88.4,0.682,215,168,0.94,2,19,45
52.2297,21.0122,6,5,1,19.9,10.0,51,92.4,111.6,0.827,213,207,0.97,0,16,16
6.5244,3.3792,2,6,1,25.1,13.8,55,52.5,65.4,0.803,585,555,0.92,3,10,52
33.749,-84.388,0,6,1,30.0,5.8,2,21.8,31.9,0.685,159,145,0.94,7,13,45
43.65107,-79.347015,2,7,1,18.5,24.3,0,59.3,80.9,0.733,526,479,0.95,3,10,30
-12.4634,130.8456,1,6,3,26.5,12.7,3,50.2,63.6,0.789,101,47,0.93,4,8,37
41.9028,12.4964,5,7,1,25.1,3.8,2,61.0,80.0,0.763,101,61,0.98,2,2,26
47.3769,8.5417,1,4,0,13.4,1.9,0,54.8,71.4,0.767,509,467,0.91,4,5,34
-45.8788,170.5028,1,4,2,4.6,5.0,0,72.4,81.2,0.892,62,15,0.95,2,8,19
34.0522,-118.2437,6,4,0,18.8,4.2,3,70.5,77.0,0.916,353,340,0.94,2,17,30
43.65107,-79.347015,6,4,0,15.9,38.3,53,56.6,69.3,0.817,274,247,0.95,3,8,32
19.4326,-99.1332,1,6,1,15.3,6.1,3,113.4,114.8,0.987,223,170,0.99,0,5,13
-27.4698,153.0251,1,6,3,13.7,13.1,2,49.9,57.2,0.874,266,225,0.93,4,16,16
-12.0464,-77.0428,3,5,3,18.6,16.9,1,37.9,52.3,0.724,179,163,0.99,5,16,35
50.0755,14.4378,1,7,1,23.9,2.8,0,70.7,77.8,0.909,226,184,0.9,2,11,59
34.0522,-118.2437,5,6,1,27.8,13.8,0,47.7,60.4,0.791,158,126,0.97,4,0,23
13.7563,100.5018,2,7,1,27.8,4.4,3,28.7,43.3,0.662,462,451,0.93,6,17,59
-37.8136,144.9631,2,5,3,9.2,11.0,3,28.4,41.4,0.687,427,387,0.99,6,16,0
47.3769,8.5417,5,5,1,16.9,3.7,61,22.8,33.8,0.676,122,108,0.97,6,1,6
18.4655,-66.1057,5,6,1,29.1,21.0,3,25.1,35.1,0.715,133,118,0.94,7,22,41
41.9028,12.4964,4,6,1,25.2,0.5,0,98.9,105.4,0.939,103,96,0.93,1,22,30
38.7223,-9.1393,0,5,1,20.5,7.1,0,75.7,93.2,0.812,270,232,0.96,2,20,44
55.7558,37.6173,4,6,1,23.8,7.0,2,87.8,92.6,0.948,119,94,0.93,1,15,16
18.4655,-66.1057,1,7,1,25.9,12.8,51,53.7,65.4,0.821,531,485,0.96,3,8,25
21.3069,-157.8583,0,7,1,24.8,13.6,2,52.6,71.0,0.741,220,165,0.91,3,14,28
-45.8788,170.5028,3,5,3,7.8,6.2,3,70.3,73.7,0.953,586,556,0.92,2,21,1
18.4655,-66.1057,1,5,1,28.8,18.6,0,99.9,125.2,0.798,158,118,0.98,0,23,16
55.9533,-3.1883,2,4,0,12.0,15.9,51,37.0,49.7,0.745,232,199,0.99,5,1,14
41.0082,28.9784,2,5,1,34.5,6.1,0,28.6,41.5,0.69,357,348,0.91,6,11,54
50.8503,4.3517,5,6,1,14.4,23.0,1,21.9,36.3,0.604,218,208,0.92,7,6,36
-1.286389,36.817223,5,7,3,24.3,10.8,3,21.4,34.5,0.621,531,479,0.93,7,10,48
28.7041,77.1025,1,7,1,26.6,9.3,51,47.0,53.8,0.875,526,499,0.9,4,1,34
64.1355,-21.8954,5,5,1,5.2,10.4,3,59.7,76.5,0.78,262,205,0.99,3,0,39
44.6488,-63.5752,2,6,1,24.1,5.7,3,24.1,31.5,0.764,156,134,0.91,7,15,28
-34.9285,138.6007,5,5,3,12.0,17.3,63,32.1,44.2,0.726,133,83,0.95,5,22,12
6.5244,3.3792,6,4,0,26.7,7.6,2,79.1,102.7,0.77,186,171,0.94,1,21,44
41.0082,28.9784,4,4,0,16.2,10.9,51,100.7,103.4,0.974,184,165,0.96,0,4,37
60.1695,24.9354,1,6,1,13.7,12.2,0,109.9,122.3,0.898,520,487,0.95,0,23,51
24.4539,54.3773,0,5,1,28.5,9.5,0,75.9,81.9,0.927,259,243,0.99,2,23,4
-34.6037,-58.3816,5,7,3,13.5,27.4,51,81.2,100.4,0.809,453,441,0.93,1,14,40
-37.8136,144.9631,2,6,3,3.3,11.3,0,115.6,117.0,0.988,576,562,0.93,0,11,13
-33.9249,18.4241,2,5,3,12.8,7.9,0,52.9,59.8,0.885,584,563,0.97,4,16,2
34.0522,-118.2437,4,5,1,27.7,16.5,0,42.8,49.7,0.861,249,234,0.95,5,21,19
43.65107,-79.347015,2,7,1,20.7,19.2,0,91.8,113.7,0.807,432,424,0.93,1,18,23
-6.2088,106.8456,4,7,3,32.7,13.5,3,99.4,112.8,0.881,537,524,0.95,0,5,39
29.3759,47.9774,1,7,1,40.6,6.2,0,32.0,42.7,0.75,443,424,0.95,6,16,11
6.5244,3.3792,3,6,1,26.4,17.3,51,24.7,32.9,0.752,347,307,0.99,7,8,20
19.4326,-99.1332,0,6,1,24.8,4.8,2,65.1,72.9,0.893,179,151,0.94,2,18,55
-42.8821,147.3272,3,6,3,5.3,6.8,3,49.6,66.9,0.741,250,213,0.97,4,13,15
45.4215,-75.6972,4,4,0,9.1,1.6,0,115.7,121.0,0.956,516,474,0.94,0,6,51
-41.2865,174.7762,0,7,3,8.8,16.1,3,51.4,64.7,0.795,242,228,0.98,4,20,20
33.5731,-7.5898,2,6,1,21.7,9.0,3,106.3,118.8,0.895,257,246,0.93,0,2,27
-45.8788,170.5028,5,5,3,4.7,3.2,1,94.8,123.8,0.766,123,71,0.91,0,10,51
29.3759,47.9774,4,7,1,45.2,41.8,0,93.3,114.7,0.813,499,474,0.92,1,10,15
38.7223,-9.1393,4,4,0,13.6,8.7,3,25.8,40.8,0.632,78,50,0.9,6,20,52
25.276987,51.520008,5,6,1,41.3,27.5,0,115.0,122.3,0.94,331,281,0.98,0,9,39
53.3498,-6.2603,1,7,1,18.9,21.6,51,22.9,33.8,0.676,446,392,0.92,7,15,19
-45.8788,170.5028,2,5,3,6.1,30.4,3,44.1,60.2,0.733,282,243,0.95,4,11,24
50.0755,14.4378,6,7,1,17.1,8.5,3,48.0,62.3,0.769,487,430,0.95,4,3,22
53.5461,-113.4938,0,7,1,15.1,12.4,3,40.2,50.2,0.8,223,172,0.98,5,14,44
24.4539,54.3773,4,5,1,28.9,4.3,0,106.1,126.4,0.839,110,85,0.94,0,21,34
-12.0464,-77.0428,0,7,3,12.5,12.7,1,66.5,76.5,0.869,111,90,0.97,2,7,36
41.0082,28.9784,5,6,1,26.8,22.3,0,38.9,54.7,0.712,164,108,0.93,5,16,45
46.8139,-71.2082,5,4,0,15.9,9.0,2,27.9,46.7,0.598,468,438,0.91,6,16,21
47.3769,8.5417,0,4,0,13.8,5.9,51,79.8,98.4,0.81,230,212,0.99,1,21,10
38.7223,-9.1393,1,4,0,18.0,19.1,3,43.7,64.9,0.672,334,280,0.92,4,20,31
38.7223,-9.1393,5,7,1,31.1,5.2,0,94.0,96.3,0.976,127,117,1.0,1,11,37
-33.9249,18.4241,3,6,3,12.0,34.2,53,80.9,88.5,0.914,214,160,0.94,1,0,32
52.3676,4.9041,1,4,0,14.3,16.8,1,24.0,33.9,0.708,480,441,0.97,7,17,6
33.749,-84.388,6,7,1,23.0,6.9,3,29.8,39.3,0.758,176,150,0.92,6,4,50
-12.0464,-77.0428,1,7,3,17.2,11.6,3,62.7,76.5,0.82,269,238,0.96,2,15,50
48.2082,16.3738,0,7,1,20.9,13.0,2,60.6,78.0,0.776,350,328,0.95,3,22,17
-6.2088,106.8456,5,5,3,22.6,5.2,3,93.6,107.2,0.873,488,452,0.9,1,21,23
-34.9285,138.6007,5,6,3,12.9,29.4,2,77.5,104.6,0.741,472,436,0.92,1,2,24
-42.8821,147.3272,6,6,3,4.0,6.9,1,87.8,97.3,0.902,137,120,0.91,1,14,9
25.276987,55.296249,1,4,0,28.9,7.9,0,51.0,66.0,0.773,374,349,0.96,4,18,27
53.3498,-6.2603,0,7,1,19.7,24.7,3,77.1,94.1,0.819,297,246,0.93,1,9,15
21.0285,105.8542,0,7,1,27.4,2.8,3,46.0,65.6,0.7,304,291,0.99,4,11,10
-41.2865,174.7762,2,6,3,9.0,20.5,0,47.0,60.6,0.775,106,86,0.96,4,20,13
-27.4698,153.0251,1,6,3,20.2,14.3,0,61.2,79.6,0.769,283,238,0.94,3,5,28
-42.8821,147.3272,5,7,3,8.1,20.0,3,30.4,38.8,0.782,398,340,0.95,6,14,29
10.8231,106.6297,5,4,0,28.0,8.7,51,35.4,52.2,0.679,177,164,0.95,5,14,2
34.0522,-118.2437,0,5,1,16.1,6.6,0,71.7,93.5,0.767,514,467,1.0,2,8,14
-22.9068,-43.1729,3,6,3,20.9,6.0,0,84.0,99.7,0.842,116,76,0.96,1,22,15
48.2082,16.3738,6,7,1,18.4,9.0,51,105.5,126.6,0.833,234,212,0.99,0,0,49
21.3069,-157.8583,0,7,1,28.6,23.0,2,52.8,65.2,0.809,262,233,0.94,3,20,0
37.9838,23.7275,2,6,1,30.0,10.9,0,39.0,54.5,0.716,145,106,0.97,5,6,39
-35.2809,149.13,2,7,3,8.2,12.2,1,77.8,101.8,0.764,226,221,0.91,1,16,19
